Risk ID,Task/Phase,Task Name,Risk Type,Risk Category,Description,Probability,Impact,Exposure,Mitigation Plan,Owner,Consulted,Status,Date Identified,Date Closed,Review Date
RSK-001,CT-0004,Record monthly VAT Report entries,Compliance,Regulatory,VAT filing deadline may be missed due to data compilation delays,High,High,Critical,Add 1-day buffer; prioritize VAT data collection on WD1,JAP,JPAL,Open,2025-01-10,,2025-01-25
RSK-002,CT-0005,Process CA Liquidations (Project),Operational,Process,Incomplete CA documentation from project teams,Medium,Medium,Medium,Send reminder 3 days before month-end; escalate missing docs,LAS,RIM,Open,2025-01-10,,2025-01-25
RSK-003,CT-0009,Accrue Production Retainer Media Commission OOPC,Financial,Revenue Recognition,Client contract amendments not reflected in accrual calculations,Medium,High,High,Weekly contract review meetings with account management,JPAL,BOM,Mitigated,2025-01-05,,2025-01-25
RSK-004,CT-0013,Compile documents for revenue accruals,Operational,Documentation,Revenue supporting documents not provided by deadline,High,Medium,High,Implement automated reminder system 5 days before close,JRMO,JPAL,Open,2025-01-10,,2025-01-25
RSK-005,CT-0015,Record Depreciation Amortization,Technical,System,Depreciation calculation errors due to incorrect asset data,Low,High,Medium,Quarterly asset register validation; monthly reconciliation,BOM,RIM,Mitigated,2024-12-15,,2025-03-15
RSK-006,CT-0021,Revalue Intercompany Balances,Financial,FX Risk,Significant FX rate volatility affecting IC balance revaluation,Medium,Medium,Medium,Use month-end official rates; document rate source,JPAL,BOM,Accepted,2025-01-08,,2025-01-25
RSK-007,CT-0024,Prepare WIP schedule summary per Job#,Operational,Data Quality,WIP data inconsistencies between project system and GL,High,High,Critical,Implement automated WIP reconciliation tool; weekly spot checks,JRMO,JPAL,Open,2025-01-10,,2025-01-25
RSK-008,CT-0025,Process reversal entries for prior month accruals,Operational,Process,Reversal entries not posted causing double-counting,Low,High,Medium,Maintain reversal tracker; automated reversal posting in system,RIM,BOM,Mitigated,2024-11-20,,2025-02-20
RSK-009,CT-0027,Process GL and Marketing Expense reclassifications,Financial,Classification,Marketing expense misclassifications impacting P&L reporting,Medium,Medium,Medium,Monthly expense category training; review checklist,LAS,BOM,Open,2025-01-10,,2025-01-25
RSK-010,CT-0029,Transfer Job Codes for consultancy/corporate,Operational,Allocation,Incorrect job code transfers affecting project profitability,Medium,High,High,Implement approval workflow for transfers >10K; monthly audit,JAP,JPAL,Open,2025-01-10,,2025-01-25
RSK-011,CT-0032,Prepare AP Aging for Working Capital,Financial,Liquidity,Delayed AP aging reports affecting cash flow planning,Medium,Medium,Medium,Automate AP aging report generation; set up scheduled runs,LAS,BOM,Open,2025-01-10,,2025-01-25
RSK-012,CT-0035,Prepare Flash Wins & Losses and Revenue reports,Operational,Reporting,Incomplete flash report data causing regional reporting delays,High,High,Critical,Implement data collection deadline 2 days before regional due date,BOM,RIM,Open,2025-01-10,,2025-01-25
RSK-013,CT-0036,Final TB Review and Sign-off,Governance,Approval,CFO unavailable for final sign-off causing period closure delay,Medium,High,High,Designate backup approver; implement digital signature workflow,CKVC,BOM,Mitigated,2024-12-10,,2025-02-10
RSK-014,1.0,I. Initial & Compliance,Resource,Capacity,Key personnel absence during payroll processing period,Low,High,Medium,Cross-train backup resources; document SOPs,RIM,CKVC,Mitigated,2024-11-15,,2025-02-15
RSK-015,2.0,II. Accruals & Amortization,Technical,Integration,System integration failure between GL and subledgers,Low,Critical,High,Implement automated reconciliation checks; backup manual process,BOM,RIM,Accepted,2024-10-20,,2025-04-20
RSK-016,3.0,III. WIP,Operational,Process,Aged WIP not identified and written off timely,Medium,High,High,Monthly aged WIP review meeting; automated aging alerts,JPAL,JRMO,Open,2025-01-10,,2025-01-25
RSK-017,4.0,IV. Final Adjustments,Compliance,Audit,Insufficient documentation for adjusting entries,Medium,Medium,Medium,Mandatory attachment policy for all adjustments; quarterly audit review,RIM,CKVC,Mitigated,2024-12-01,,2025-03-01
RSK-018,CT-0003,Compile Input VAT and VAT Report,Technical,Data,VAT data extraction errors from multiple source systems,Medium,High,High,Implement automated VAT data validation; reconcile to source,JLI,JPAL,Open,2025-01-10,,2025-01-25
RSK-019,CT-0010,Accrue recurring Expenses,Financial,Accruals,Recurring accruals not updated for contract changes,Medium,Medium,Medium,Monthly contract change log review; accrual template updates,LAS,RIM,Open,2025-01-10,,2025-01-25
RSK-020,CT-0017,Record bank charges FX revaluation stock option,Financial,Treasury,Bank statement delays affecting timely recording,Low,Medium,Low,Implement online banking portal; automated transaction downloads,BOM,JPAL,Accepted,2024-12-15,,2025-03-15
RSK-021,CT-0022,Record lease interest and prepaid fee amortization,Technical,Calculation,Lease calculation errors due to IFRS 16 complexity,Medium,High,High,External lease accounting review; automated lease calculation tool,LAS,RIM,Mitigated,2024-11-10,,2025-02-10
RSK-022,CT-0028,Reclassify General Expense to Wireless and Meals,Operational,Classification,Inconsistent expense coding by employees,High,Medium,High,Implement expense coding training; real-time validation in expense system,RMQB,RIM,Open,2025-01-10,,2025-01-25
RSK-023,CT-0033,Prepare AP Aging with detailed invoice status,Operational,Data Quality,Invoice status data not maintained in AP system,Medium,Medium,Medium,Implement mandatory invoice status field; monthly data quality review,JLI,LAS,Open,2025-01-10,,2025-01-25
RSK-024,2.0,II. Accruals & Amortization,Financial,Cut-off,Period-end cut-off errors for client billings,Medium,High,High,Implement strict period-end transaction approval cut-off policy,JPAL,BOM,Open,2025-01-10,,2025-01-25
RSK-025,4.0,IV. Final Adjustments,Resource,Dependency,Delays in regional office data affecting consolidated reporting,High,Medium,High,Set up data submission deadlines 2 days before consolidation,BOM,CKVC,Open,2025-01-10,,2025-01-25
