Entry ID,Task ID,Employee,Date,Hours,Hourly Rate,Description,Billable
TIME-001,TAX-001,Accountant,2026-01-20,8,85,Gathered W-2 and 1099 forms,TRUE
TIME-002,TAX-001,Accountant,2026-01-22,6,85,Compiled expense receipts,TRUE
TIME-003,TAX-001,Junior Accountant,2026-01-25,4,55,Organized charitable donation receipts,TRUE
TIME-004,TAX-002,Senior Accountant,2026-03-12,10,95,Reviewed draft against General Ledger,TRUE
TIME-005,TAX-002,Senior Accountant,2026-03-15,6,95,Approved deductions and prepared manager sign-off package,TRUE
TIME-006,TAX-002,Legal Counsel,2026-03-18,3,150,Legal compliance review,FALSE
TIME-007,TAX-003,Tax Specialist,2026-04-05,12,110,Prepared and submitted federal/state returns,TRUE
TIME-008,TAX-003,Tax Specialist,2026-04-10,4,110,Payment processing and confirmation archival,TRUE
TIME-009,CLOSE-001,Controller,2025-12-26,5,120,Updated closing schedule and notified departments,FALSE
TIME-010,CLOSE-001,Controller,2025-12-27,3,120,Cleared suspense accounts,FALSE
TIME-011,CLOSE-002,Finance Team,2026-01-02,16,75,Bank reconciliations for all accounts,FALSE
TIME-012,CLOSE-002,Finance Team,2026-01-03,12,75,Posted accruals and ran depreciation,FALSE
TIME-013,CLOSE-003,CFO,2026-01-04,6,175,Variance analysis review,FALSE
TIME-014,CLOSE-003,CFO,2026-01-05,4,175,Financial statements sign-off and board pack distribution,FALSE
